18 digit Property ID,ARC Program: ID,ARC Program: Program ID,Billing Code (AccPac),Operations Region,Property Name (formula),SEO Cost,Program Official Start,UA Code,View ID,Current Property Owner,Units
a078000000QEIzmAAH,a2i80000003V28m,PGM-78507,1496,Southeast,Broadstone Brickell,1200,8/2/2018,UA-83142714-1,186813031,Clarion Partners,372
a078000000IPZQjAAP,a2i80000003UFgc,PGM-71221,933,Southeast,Broadstone North Boca Village,300,12/14/2016,UA-32950935-1,183495688,Prudential,384
a078000000LnmYXAAZ,a2i80000003UFho,PGM-71295,1042,Southeast,Broadstone Cypress Hammocks,300,3/15/2016,UA-39421963-1,183480254,Prudential,396
a078000000RqO7IAAV,a2i80000003U8J3,PGM-68389,1681,Southeast,Broadstone City Center,300,4/2/2018,UA-75412811-6,172648221,Alliance Residential Company,317
a078000000W7gevAAB,a2i80000003UxSH,PGM-76546,1902,Northeast,Sawyer Place Phase I,900,3/20/2019,UA-123169612-2,183991785,RXR Residential Services LLC,168
a072E00000V8QsWQAV,a2i2E000004uh0y,PGM-86845,2065,Northeast,Park Bayonne,600,4/29/2019,UA-85008007-5,194732329,Cali Futures,60
a078000000SRLUCAA5,a2i800000048GxB,PGM-37612,1555,Northeast,221 Bergen,300,10/3/2016,UA-85008007-1,172075560,TAK Group,104
a078000000Rq6bkAAB,a2i800000048Gv6,PGM-37483,1506,Northeast,The Quincy,300,12/21/2017,UA-74994904-1,184947372,Alliance Residential Company,393
a078000000NqXY2AAN,a2i800000048H06,PGM-37793,1113,Northeast,Broadstone Van Dorn,300,5/10/2014,UA-46993590-1,172979846,Alliance Residential Company,184
a078000000WhinMAAR,a2i80000003V23K,PGM-78457,1926,Northeast,360 Huguenot,900,12/18/2018,UA-123169612-3,187004600,RXR Residential Services LLC,280
a072E00000WuGpPQAV,a2i2E0000053X0A,PGM-83077,1985,Northeast,Reserve at Harper?s Crossing,600,1/16/2019,UA-130944962-1,188305966,The Bascom Group,377
a078000000W6dTvAAJ,a2i80000003Ukgf,PGM-75915,1868,Northeast,The Hawthorne,300,8/22/2018,UA-123169612-1,179459302,"Goldman, Sachs & Co.",90
a078000000VEYTZAA5,a2i80000003URYN,PGM-74266,1862,Northern California,Inova,900,3/19/2019,UA-28080357-16,190794529,Klein Financial Corporation,574
a078000000VEYTPAA5,a2i80000003UybX,PGM-77341,1921,Northern California,47Hundred,300,2/8/2019,UA-91327653-48,189940180,Nautilus Group,48
a078000000Rq9eJAAR,a2i2E0000053ZRT,PGM-84510,1527,Northern California,O&M,300,11/21/2018,UA-86788798-3,165019965,Mitsui Fudosan America,116
a078000000PgKboAAF,a2i800000048GxV,PGM-37632,1269,Northern California,777 Hamilton,300,4/18/2016,UA-56407725-1,182356672,Greenheart Land Company,195
a078000000QqKWbAAN,a2i800000048GxL,PGM-37622,1402,Northern California,481 on Mathilda,600,6/20/2016,UA-78944130-1,184982595,AEW Capital Management,105
a078000000U0sG5AAJ,a2i800000048Gvs,PGM-37531,1705,Northern California,Civic Square,300,4/16/2018,UA-91327653-14,169253061,Braddock & Logan,298
a078000000TwfKJAAZ,a2i800000048Gvq,PGM-37529,1659,Northern California,885 Woodside,300,8/29/2017,UA-91327653-19,186579604,Newport Venture Capital,42
a078000000TwfKYAAZ,a2i800000048Gvp,PGM-37528,1668,Northern California,The Arroyo Residences,300,8/29/2017,UA-91327653-35,189053319,Northwestern Mutual Life Insurance Company,100
a078000000U0sFvAAJ,a2i800000048Gvo,PGM-37527,1708,Northern California,Brookside,300,4/16/2018,UA-91327653-15,172160736,Braddock & Logan,144
a078000000U0sH3AAJ,a2i800000048Gvx,PGM-37536,1702,Northern California,San Marino,300,4/16/2018,UA-91327653-10,169244788,Braddock & Logan,248
a078000000U0sGAAAZ,a2i800000048Gvw,PGM-37535,1701,Northern California,Cypress Point,300,4/16/2018,UA-91327653-12,169263728,Braddock & Logan,240
a078000000U0sGjAAJ,a2i800000048Gvv,PGM-37534,1703,Northern California,Monte Vista,0,6/20/2017,UA-91327653-11,169266999,Braddock & Logan,138
a078000000U0sGUAAZ,a2i800000048Gvn,PGM-37526,1712,Northern California,Lime Ridge,300,4/16/2018,UA-91327653-23,173503919,Braddock & Logan,70
a078000000U0sHIAAZ,a2i800000048Gvl,PGM-37524,1711,Northern California,Vista Oaks,300,4/16/2018,UA-91327653-18,173518782,Braddock & Logan,108
a078000000U0sGeAAJ,a2i800000048Gvk,PGM-37523,1709,Northern California,Mission Pines,300,4/16/2018,UA-91327653-17,173544159,Braddock & Logan,62
a078000000U0sH8AAJ,a2i800000048Gvh,PGM-37520,1716,Northern California,The Pines,300,4/16/2018,UA-91327653-25,173642386,Braddock & Logan,0
a078000000QFDVHAA5,a2i800000048Gyp,PGM-37714,1328,Northern California,Ascent Walnut Creek,300,11/18/2015,UA-66529709-1,154177907,BlackRock,126
a078000000U0sHDAAZ,a2i800000048GvZ,PGM-37512,1719,Northern California,Villas at Monterosso,300,4/16/2018,UA-91327653-28,173619005,Braddock & Logan,96
a0780000002w4SQAAY,a2i800000048GvX,PGM-37510,1721,Northern California,Morgan Park,300,4/16/2018,UA-91327653-29,173632994,Braddock & Logan,148
a078000000U0sGFAAZ,a2i800000048GvW,PGM-37509,1722,Northern California,Danville Park,300,4/16/2018,UA-91327653-30,173635884,Braddock & Logan,96
a078000000U0sFqAAJ,a2i800000048GvT,PGM-37506,1724,Northern California,Autumn Springs,300,4/16/2018,UA-91327653-32,169262688,Braddock & Logan,200
a078000000U1l7wAAB,a2i800000048GvP,PGM-37502,1733,Northern California,The Charleston,300,8/15/2017,UA-91327653-37,159153580,"Pathfinder Partners, LLC",195
a078000000QoFnNAAV,a2i800000048GvM,PGM-37499,1652,Northern California,Artist Walk,300,4/24/2017,UA-91327653-2,186593021,Blake | Griggs Properties,185
a078000000QpnMeAAJ,a2i800000048Gyh,PGM-37706,1369,Northern California,Aqua Via,600,9/21/2015,UA-67441333-1,182100837,Invesco Realty Advisors,101
a078000000QpnMjAAJ,a2i800000048Gyg,PGM-37705,1371,Northern California,Fountain Plaza,300,9/30/2015,UA-67216717-1,176651680,Invesco Realty Advisors,367
a078000000QE4VJAA1,a2i800000048Gyd,PGM-37702,1339,Northern California,Centerra,300,9/4/2015,UA-66562208-1,149117349,PNC Bank,347
a078000000QnusuAAB,a2i800000048Gyc,PGM-37701,1332,Northern California,The Artisan,300,9/7/2017,UA-63157619-1,186834662,Johnson Development Associates (JDA),144
a078000000Qq7O9AAJ,a2i800000048GyY,PGM-37697,1379,Northern California,Fiori Estates,300,2/13/2018,UA-70248802-1,169273123,Anthony Saris,244
a078000000Rz0EpAAJ,a2i800000048Gw9,PGM-37548,1492,Northern California,LEX,600,4/27/2017,UA-91327653-4,186669478,Prudential,387
a0780000003RyrdAAC,a2i800000048H2b,PGM-37948,292,Northern California,The Courtyards at 65th Street,300,10/10/2016,UA-91327653-40,166420094,State Teachers Retirement System of Ohio,331
a078000000QoFnSAAV,a2i800000048Guf,PGM-37456,1673,Northern California,Vaya,300,4/22/2018,UA-86788798-5,174013024,Blake | Griggs Properties,178
a078000000QqyHbAAJ,a2i800000048GyN,PGM-37686,1415,Northern California,Village Lake,300,8/18/2016,UA-71806548-1,182081832,Fortbay,208
a078000000QFbJvAAL,a2i800000048GyL,PGM-37684,1395,Northern California,ViO,300,12/4/2015,UA-67352301-1,182018253,Johnson Development Associates (JDA),234
a07800000075b0CAAQ,a2i800000048H1i,PGM-37893,1651,Northern California,Harbor Park,300,1/19/2016,UA-36364064-1,153602712,Klein Financial Corporation,182
a0780000002w5FnAAI,a2i800000048H1Z,PGM-37884,904,Northern California,Montessa at Whitney Ranch,300,1/19/2018,UA-36353376-1,186648387,St. Regis Properties,171
a078000000Rp29nAAB,a2i800000048GyC,PGM-37675,1442,Northern California,Woodland Park,300,5/23/2016,UA-74465907-1,186849437,Sand Hill Property Company,1806
a078000000Rplf0AAB,a2i800000048Gx7,PGM-37608,1473,Northern California,The Landing at College Square,300,7/21/2016,UA-80484286-1,153647911,USA Properties Fund,270
a078000000SRYW3AAP,a2i800000048GwO,PGM-37563,1565,Northern California,Idora Apartments,300,4/24/2017,UA-86788798-4,186600288,St. Regis Properties,33
a078000000TwGylAAF,a2i800000048GwL,PGM-37560,1632,Northern California,Varsity Berkeley,300,4/24/2017,UA-91327653-8,172063666,Barings Real Estate Advisers,79
a078000000RppPEAAZ,a2i800000048Gxf,PGM-37642,1485,Northern California,Stony Creek,300,6/16/2016,UA-79235341-1,183177868,"Westlake Urban, LLC",44
a078000000RppP4AAJ,a2i800000048Gxe,PGM-37641,1484,Northern California,2000 Delaware,300,6/15/2016,UA-79358306-1,185005466,"Westlake Urban, LLC",60
a078000000RppPTAAZ,a2i800000048Gxd,PGM-37640,1483,Northern California,Oaks,300,11/21/2017,UA-79521989-1,183187881,"Westlake Urban, LLC",64
a078000000RppPJAAZ,a2i800000048Gxc,PGM-37639,1482,Northern California,Union North,300,6/23/2016,UA-79364713-1,153666623,"Westlake Urban, LLC",91
a078000000RppPOAAZ,a2i800000048Gxa,PGM-37637,1479,Northern California,Kirkham Heights,300,6/1/2016,UA-79357306-1,186678842,"Westlake Urban, LLC",86
a078000000OMMroAAH,a2i800000048Gzw,PGM-37783,1165,Northern California,Westridge at Hilltop,300,4/23/2014,UA-51059903-1,185004655,Menlo Capital Group,401
a07800000075b4NAAQ,a2i80000003TiO8,PGM-62262,1771,Northern California,Kensington,300,11/15/2017,UA-27373489-1,183123320,Klein Financial Corporation,301
a078000000VGpCxAAL,a2i80000003UHBr,PGM-72106,1838,Northern California,K Street Flats,300,4/6/2018,UA-91327653-44,172997073,BlackRock,176
a072E00000WuKJ1QAN,a2i2E0000053Y0s,PGM-83872,2007,Northern California,Foundry Commons,300,1/3/2019,UA-91327653-49,187442847,Tilden Properties,238
a0780000003n1vUAAQ,a2i80000003Tb0a,PGM-60371,1111,Northern California,LINQ Midtown,300,7/1/2017,UA-36356478-1,173671593,Barings Real Estate Advisers,275
a078000000SJFcIAAX,a2i80000003UAyG,PGM-69822,1888,Pacific Northwest,Broadstone Reveal,300,10/22/2018,UA-55463619-3,183807538,Alliance Residential Company,147
a078000000Sp6m9AAB,a2i80000003UB9Z,PGM-70488,1886,Pacific Northwest,Broadstone Saxton,300,10/22/2018,UA-55452293-12,184053793,Alliance Residential Company,325
a078000000U0uJRAAZ,a2i80000003URVR,PGM-74089,1927,Pacific Northwest,Broadstone Tempo,300,12/3/2018,UA-55463619-4,186292070,Alliance Residential Company,197
a078000000WttAIAAZ,a2i800000053UWV,PGM-81694,1957,Pacific Northwest,Marvelle at Southcenter,1200,9/24/2018,UA-55452293-11,182339851,Alliance Residential Company,166
a078000000RpleqAAB,a2i800000048Gvu,PGM-37533,1537,Pacific Northwest,The Eddy,300,7/1/2017,UA-55452293-2,173655048,Northwestern Mutual Life Insurance Company,130
a078000000RpljCAAR,a2i800000048GwY,PGM-37573,1617,Pacific Northwest,Broadstone Clarendon,300,3/6/2017,UA-55452293-3,173051308,Alliance Residential Company,82
a078000000QoFn8AAF,a2i800000048Gys,PGM-37717,1333,Pacific Northwest,Green Lake Village,300,9/1/2015,UA-65132831-1,173646433,Northwestern Mutual Life Insurance Company,297
a078000000TwCvKAAV,a2i800000048GwJ,PGM-37558,1636,Pacific Northwest,Mount Si Apartments,300,9/19/2018,UA-55452293-6,182748778,Braddock & Logan,48
a078000000QDq0YAAT,a2i80000004752P,PGM-71591,1378,Pacific Northwest,Broadstone Sky,300,9/27/2017,UA-68030500-1,173623667,AEW Capital Management,151
