,latitude,longitude,sessions,zip,Formatted Address
335,40.4259,-86.9081,5,47906,"West Lafayette, IN 47906, USA"
336,40.4329,-74.6635,1,08558,"Skillman, NJ 08558, USA"
337,40.4406,-79.9959,2,15219,"Pittsburgh, PA 15219, USA"
338,40.4862,-74.4518,2,08901,"New Brunswick, NJ 08901, USA"
339,40.5068,-74.2654,6,08861,"Perth Amboy, NJ 08861, USA"
340,40.5187,-74.4121,12,08817,"Edison, NJ 08817, USA"
341,40.5247,-111.8638,2,84020,"Draper, UT 84020, USA"
342,40.5549,-74.4643,2,08854,"Piscataway, NJ 08854, USA"
343,40.5576,-74.2846,3,07095,"Woodbridge, NJ 07095, USA"
344,40.5622,-111.9297,8,84095,"Riverton, UT 84095, USA"
345,40.5853,-105.0844,7,80521,"Fort Collins, CO 80521, USA"
346,40.5940,-74.6049,2,08807,"Bridgewater Township, NJ 08807, USA"
347,40.6023,-75.4714,1,18101,"Allentown, PA 18101, USA"
348,40.6082,-74.2776,1,07065,"Rahway, NJ 07065, USA"
349,40.6220,-74.2446,3,07036,"Linden, NJ 07036, USA"
350,40.6259,-75.3705,1,18018,"Bethlehem, PA 18018, USA"
351,40.6266,-80.0550,2,15090,"Wexford, PA 15090, USA"
352,40.6320,-73.7126,3,11598,"Woodmere, NY 11598, USA"
353,40.6343,-74.5005,1,07059,"Warren, NJ 07059, USA"
354,40.6387,-73.6401,4,11572,"Oceanside, NY 11572, USA"
355,40.6576,-73.5832,5,11520,"Freeport, NY 11520, USA"
356,40.6587,-73.6412,1,11570,"Rockville Centre, NY 11570, USA"
357,40.6590,-74.3474,1,07090,"Westfield, NJ 07090, USA"
358,40.6629,-73.5515,2,11566,"Merrick, NY 11566, USA"
359,40.6640,-74.2107,7,07201,"Elizabeth, NJ 07201, USA"
360,40.6643,-73.7085,3,11580,"Valley Stream, NY 11580, USA"
361,40.6687,-74.1143,1,07002,"Bayonne, NJ 07002, USA"
362,40.6805,-73.4553,1,11762,"Massapequa Park, NY 11762, USA"
363,40.6807,-73.4743,2,11758,"North Massapequa, NY 11758, USA"
364,40.6809,-74.4311,1,07922,"Berkeley Heights, NJ 07922, USA"
365,40.6815,-73.3998,1,11726,"Copiague, NY 11726, USA"
366,40.6837,-73.5101,3,11793,"Wantagh, NY 11793, USA"
367,40.6884,-75.2207,24,18042,"Williams Township, PA 18042, USA"
368,40.6916,-112.0011,2,84120,"Salt Lake City, UT 84120, USA"
369,40.6919,-74.7833,3,07830,"Tewksbury, NJ 07830, USA"
370,40.6957,-73.3257,1,11702,"Babylon, NY 11702, USA"
371,40.6976,-74.2632,4,07083,"Union, NJ 07083, USA"
372,40.7004,-73.5929,8,11553,"Uniondale, NY 11553, USA"
373,40.7009,-73.7129,7,11003,"Floral Park, NY 11003, USA"
374,40.7048,-73.6501,2,11552,"West Hempstead, NY 11552, USA"
375,40.7062,-73.6187,4,11550,"South Hempstead, NY 11550, USA"
376,40.7128,-74.0060,5640,10007,"New York, NY 10007, USA"
377,40.7146,-74.3646,3,07901,"Summit, NJ 07901, USA"
378,40.7178,-74.0431,87,07302,"Jersey City, NJ 07302, USA"
379,40.7182,-73.3543,8,11704,"West Babylon, NY 11704, USA"
380,40.7259,-73.5143,1,11756,"Levittown, NY 11756, USA"
381,40.7263,-74.2286,1,07111,"Irvington, NJ 07111, USA"
382,40.7268,-73.6343,2,11530,"Garden City South, NY 11530, USA"
383,40.7293,-73.4168,1,11735,"South Farmingdale, NY 11735, USA"
384,40.7304,-73.5981,2,11530,"Garden City South, NY 11530, USA"
